BY,age_3,age_4,age_5,age_3_percent,age_4_percent,age_5_percent
1993,302,10575,473,3%,93%,4%
1994,97,1598,868,4%,62%,34%
1995,0,3423,263,0%,93%,7%
1996,32,5915,701,0%,89%,11%
1997,139,6316,1136,2%,83%,15%
1998,57,9551,1310,1%,87%,12%
1999,333,11550,4368,2%,71%,27%
2000,98,9449,611,1%,93%,6%
2001,0,5664,332,0%,94%,6%
2002,165,6183,1360,2%,80%,18%
2003,148,1192,0,11%,89%,0%
2004,94,6304,263,1%,95%,4%
2005,251,945,176,18%,69%,13%
2006,33,3105,293,1%,91%,9%
2007,0,2607,0,0%,100%,0%
2008,0,6781,103,0%,99%,1%
2009,1257,2269,634,30%,55%,15%
2010,28,7078,0,0%,100%,0%
2011,366,4203,175,8%,89%,4%
2012,119,1706,95,6%,89%,5%
2013,70,958,16,7%,92%,1%
2014,16,558,107,2%,82%,16%
2015,0,1790,162,0%,92%,8%
2016,76,3729,46,2%,97%,1%
2017,54,990,205,4%,79%,16%
2018,53,3350,72,2%,96%,2%
2019,0,1706,53,0%,97%,3%
,,,,,,
,,,,4%,87%,9%
