CU_Name,CU_acro,DU_ID,CU_ID,Pop_Name,Pop_ID,Year,EstClass,TotalInfilled,StartYear,UseYear
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,1995,INFILL,1.525821596,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,1996,INFILL,3.361810205,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,1997,INFILL,0.600323251,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,1998,INFILL,0.360193951,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,1999,INFILL,3.048037083,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2000,RELATIVE ABUNDANCE (TYPE-4),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2001,RELATIVE ABUNDANCE (TYPE-3),5,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2002,RELATIVE ABUNDANCE (TYPE-3),3,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2003,RELATIVE ABUNDANCE (TYPE-3),2,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2004,RELATIVE ABUNDANCE (TYPE-3),8,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2005,RELATIVE ABUNDANCE (TYPE-4),3,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2006,RELATIVE ABUNDANCE (TYPE-3),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2007,RELATIVE ABUNDANCE (TYPE-3),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2008,RELATIVE ABUNDANCE (TYPE-4),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2009,RELATIVE ABUNDANCE (TYPE-3),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2010,RELATIVE ABUNDANCE (TYPE-3),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2011,RELATIVE ABUNDANCE (TYPE-3),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2012,RELATIVE ABUNDANCE (TYPE-3),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2013,RELATIVE ABUNDANCE (TYPE-3),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2014,RELATIVE ABUNDANCE (TYPE-3),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2015,RELATIVE ABUNDANCE (TYPE-4),2,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2016,RELATIVE ABUNDANCE (TYPE-3),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2017,RELATIVE ABUNDANCE (TYPE-3),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2018,RELATIVE ABUNDANCE (TYPE-4),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2019,RELATIVE ABUNDANCE (TYPE-4),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2021,RELATIVE ABUNDANCE (TYPE-4),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2022,RELATIVE ABUNDANCE (TYPE-4),0,1995,TRUE
South Thompson-Bessette Creek_SU_1.2,STh-BESS,DU14,CK-16,CREIGHTON CREEK,812,2023,RELATIVE ABUNDANCE (TYPE-4),0,1995,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER-UPPER,44742,1996,QualFiltered,NA,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER-UPPER,44742,1999,QualFiltered,NA,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER-UPPER,44742,2008,RELATIVE ABUNDANCE (TYPE-4),NA,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1975,RELATIVE ABUNDANCE (TYPE-4),5606,1986,FALSE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1976,RELATIVE ABUNDANCE (TYPE-4),4445,1986,FALSE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1977,RELATIVE ABUNDANCE (TYPE-4),3498,1986,FALSE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1978,RELATIVE ABUNDANCE (TYPE-4),3974,1986,FALSE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1979,RELATIVE ABUNDANCE (TYPE-4),3017,1986,FALSE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1980,RELATIVE ABUNDANCE (TYPE-4),6180,1986,FALSE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1981,RELATIVE ABUNDANCE (TYPE-4),3258,1986,FALSE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1982,RELATIVE ABUNDANCE (TYPE-4),4737,1986,FALSE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1983,RELATIVE ABUNDANCE (TYPE-4),2407,1986,FALSE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1984,RELATIVE ABUNDANCE (TYPE-4),4679,1986,FALSE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1985,RELATIVE ABUNDANCE (TYPE-4),7088,1986,FALSE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1986,RELATIVE ABUNDANCE (TYPE-4),7876,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1987,RELATIVE ABUNDANCE (TYPE-4),4445,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1988,RELATIVE ABUNDANCE (TYPE-4),3246,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1989,RELATIVE ABUNDANCE (TYPE-4),4445,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1990,RELATIVE ABUNDANCE (TYPE-4),3017,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1991,RELATIVE ABUNDANCE (TYPE-4),3258,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1992,RELATIVE ABUNDANCE (TYPE-4),4148,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1993,RELATIVE ABUNDANCE (TYPE-4),4522,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1994,RELATIVE ABUNDANCE (TYPE-4),9193,1986,TRUE
Lower Thompson_SP_1.2,LTh,DU15,CK-17,NICOLA RIVER,46176,1995,TRUE ABUNDANCE (TYPE-2),4725,1986,TRUE
