"Species","CU_ID","Year","SpnForTrend_Total","SpnForTrend_Wild","DU_ID","CU_Name","CU_acro","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","Abd_StartYr","UseYear"
"Chinook","CK-03",1984,120627,120627,"DU2","Lower Fraser River_FA_0.3","LFR-fall",120627,120627,NA,NA,1984,TRUE
"Chinook","CK-03",1985,173321,173321,"DU2","Lower Fraser River_FA_0.3","LFR-fall",173321,173321,NA,NA,1984,TRUE
"Chinook","CK-03",1986,161713,161713,"DU2","Lower Fraser River_FA_0.3","LFR-fall",161713,161713,NA,NA,1984,TRUE
"Chinook","CK-03",1987,77312,77312,"DU2","Lower Fraser River_FA_0.3","LFR-fall",77312,77312,NA,NA,1984,TRUE
"Chinook","CK-03",1988,34095,34095,"DU2","Lower Fraser River_FA_0.3","LFR-fall",34095,34095,NA,NA,1984,TRUE
"Chinook","CK-03",1989,73652,73652,"DU2","Lower Fraser River_FA_0.3","LFR-fall",73652,73652,NA,NA,1984,TRUE
"Chinook","CK-03",1990,174369,174369,"DU2","Lower Fraser River_FA_0.3","LFR-fall",174369,174369,NA,NA,1984,TRUE
"Chinook","CK-03",1991,89278,89278,"DU2","Lower Fraser River_FA_0.3","LFR-fall",89278,89278,NA,NA,1984,TRUE
"Chinook","CK-03",1992,126556,126556,"DU2","Lower Fraser River_FA_0.3","LFR-fall",126556,126556,NA,NA,1984,TRUE
"Chinook","CK-03",1993,108984,108984,"DU2","Lower Fraser River_FA_0.3","LFR-fall",108984,108984,NA,NA,1984,TRUE
"Chinook","CK-03",1994,99211,99211,"DU2","Lower Fraser River_FA_0.3","LFR-fall",99211,99211,NA,NA,1984,TRUE
"Chinook","CK-03",1995,26960,26960,"DU2","Lower Fraser River_FA_0.3","LFR-fall",26960,26960,NA,NA,1984,TRUE
"Chinook","CK-03",1996,33776,33776,"DU2","Lower Fraser River_FA_0.3","LFR-fall",33776,33776,NA,NA,1984,TRUE
"Chinook","CK-03",1997,66752,66752,"DU2","Lower Fraser River_FA_0.3","LFR-fall",66752,66752,NA,NA,1984,TRUE
"Chinook","CK-03",1998,186002,186002,"DU2","Lower Fraser River_FA_0.3","LFR-fall",186002,186002,NA,NA,1984,TRUE
"Chinook","CK-03",1999,97016,97016,"DU2","Lower Fraser River_FA_0.3","LFR-fall",97016,97016,NA,NA,1984,TRUE
"Chinook","CK-03",2000,81867,81867,"DU2","Lower Fraser River_FA_0.3","LFR-fall",81867,81867,NA,NA,1984,TRUE
"Chinook","CK-03",2001,109218,109218,"DU2","Lower Fraser River_FA_0.3","LFR-fall",109218,109218,NA,NA,1984,TRUE
"Chinook","CK-03",2002,87952,87952,"DU2","Lower Fraser River_FA_0.3","LFR-fall",87952,87952,NA,NA,1984,TRUE
"Chinook","CK-03",2003,244283,244283,"DU2","Lower Fraser River_FA_0.3","LFR-fall",244283,244283,NA,NA,1984,TRUE
"Chinook","CK-03",2004,136391,136391,"DU2","Lower Fraser River_FA_0.3","LFR-fall",136391,136391,NA,NA,1984,TRUE
"Chinook","CK-03",2005,80525,80525,"DU2","Lower Fraser River_FA_0.3","LFR-fall",80525,80525,NA,NA,1984,TRUE
"Chinook","CK-03",2006,55744,55744,"DU2","Lower Fraser River_FA_0.3","LFR-fall",55744,55744,NA,NA,1984,TRUE
"Chinook","CK-03",2007,76839,76839,"DU2","Lower Fraser River_FA_0.3","LFR-fall",76839,76839,NA,NA,1984,TRUE
"Chinook","CK-03",2008,39863,39863,"DU2","Lower Fraser River_FA_0.3","LFR-fall",39863,39863,NA,NA,1984,TRUE
"Chinook","CK-03",2009,72872,72872,"DU2","Lower Fraser River_FA_0.3","LFR-fall",72872,72872,NA,NA,1984,TRUE
"Chinook","CK-03",2010,103572,103572,"DU2","Lower Fraser River_FA_0.3","LFR-fall",103572,103572,NA,NA,1984,TRUE
"Chinook","CK-03",2011,122303,122303,"DU2","Lower Fraser River_FA_0.3","LFR-fall",122303,122303,NA,NA,1984,TRUE
"Chinook","CK-03",2012,46234,46234,"DU2","Lower Fraser River_FA_0.3","LFR-fall",46234,46234,NA,NA,1984,TRUE
"Chinook","CK-03",2013,45958,45958,"DU2","Lower Fraser River_FA_0.3","LFR-fall",45958,45958,NA,NA,1984,TRUE
"Chinook","CK-03",2014,45232,45232,"DU2","Lower Fraser River_FA_0.3","LFR-fall",45232,45232,NA,NA,1984,TRUE
"Chinook","CK-03",2015,10604,10604,"DU2","Lower Fraser River_FA_0.3","LFR-fall",10604,10604,NA,NA,1984,TRUE
"Chinook","CK-03",2016,44684,44684,"DU2","Lower Fraser River_FA_0.3","LFR-fall",44684,44684,NA,NA,1984,TRUE
"Chinook","CK-03",2017,30183,30183,"DU2","Lower Fraser River_FA_0.3","LFR-fall",30183,30183,NA,NA,1984,TRUE
"Chinook","CK-03",2018,45978,45978,"DU2","Lower Fraser River_FA_0.3","LFR-fall",45978,45978,NA,NA,1984,TRUE
"Chinook","CK-03",2019,44168,44168,"DU2","Lower Fraser River_FA_0.3","LFR-fall",44168,44168,NA,NA,1984,TRUE
"Chinook","CK-03",2020,41206,41206,"DU2","Lower Fraser River_FA_0.3","LFR-fall",41206,41206,NA,NA,1984,TRUE
"Chinook","CK-03",2021,40451,40451,"DU2","Lower Fraser River_FA_0.3","LFR-fall",40451,40451,NA,NA,1984,TRUE
"Chinook","CK-03",2022,495,495,"DU2","Lower Fraser River_FA_0.3","LFR-fall",495,495,NA,NA,1984,TRUE
"Chinook","CK-03",2023,508,508,"DU2","Lower Fraser River_FA_0.3","LFR-fall",508,508,NA,NA,1984,TRUE
"Chinook","CK-03",2024,NA,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall",NA,NA,NA,NA,1984,TRUE
"Chinook","CK-04",2009,631,631,"DU3","Lower Fraser River_SP_1.3","LFR-spring",631,631,NA,NA,2009,TRUE
"Chinook","CK-04",2010,1520,1520,"DU3","Lower Fraser River_SP_1.3","LFR-spring",1520,1520,NA,NA,2009,TRUE
"Chinook","CK-04",2011,941,941,"DU3","Lower Fraser River_SP_1.3","LFR-spring",941,941,NA,NA,2009,TRUE
"Chinook","CK-04",2012,624,624,"DU3","Lower Fraser River_SP_1.3","LFR-spring",624,624,NA,NA,2009,TRUE
"Chinook","CK-04",2013,224,224,"DU3","Lower Fraser River_SP_1.3","LFR-spring",224,224,NA,NA,2009,TRUE
