CU_ID,Species,Stock,DataType,Year,SpnForAbd_Wild,SpnForTrend_Wild,RelLBM,AbsLBM,LongTrend,PercChange,ProbDeclBelowLBM,Percentile,RelUBM,AbsUBM,NumStdMetrics,Value,IntStatusRaw,IntStatusRaw_Short,IntStatus_Short,RapidStatus,BinLabel,BinPath,RapidScore,RelLBMCat,AbsLBMCat,LongTrendCat,PercChangeCat,ProbDeclBelowLBMCat,PercentileCat,RelUBMCat,AbsUBMCat,RelAbdCat,AbsAbdCat,RelAbd_LBM,RelAbd_UBM,SpnForAbd_Total,SpnForTrend_Total,ConfidenceRating5,ConfidenceRating3,ConfidenceRating2,IntStatus5,IntStatus3,IntStatus2
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,1995,26960,26960,1.815899563,77.93477746,NA,-50.8274,77.5667,NA,1.091340075,7.793477746,5,77934.77746,NA,NA,NA,Amber,Node37,"AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,Green,Green,NA,Red,NA,NA,Green,Green,Green,Green,42918,71412,26960,26960,High,High,Moderate,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,1996,33776,33776,1.305188364,56.01607419,NA,-62.3961,87.7,NA,0.784407021,5.601607419,5,56016.07419,NA,NA,NA,Amber,Node37,"AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,Amber,Green,NA,Red,NA,NA,Amber,Green,Amber,Green,42918,71412,33776,33776,High,High,Moderate,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,1997,66752,66752,1.154645262,49.55506537,NA,-50.7026,77.4667,NA,0.693931907,4.955506537,5,49555.06537,NA,NA,NA,Amber,Node37,"AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,Amber,Green,NA,Red,NA,NA,Amber,Green,Amber,Green,42918,71412,66752,66752,High,High,Moderate,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,1998,186002,186002,1.351101651,57.98658065,66,3.3777,29.5667,NA,0.812000513,5.798658065,6,57986.58065,NA,NA,NA,Amber,Node37,"AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,Amber,Green,Amber,Green,NA,NA,Amber,Green,Amber,Green,42918,71412,186002,186002,High,High,Moderate,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,1999,97016,97016,1.860882252,79.86534448,90,14.4357,24.8667,NA,1.118374286,7.986534448,6,79865.34448,NA,NA,NA,Green,Node36,"AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,Green,Green,Green,Green,NA,NA,Green,Green,Green,Green,42918,71412,97016,97016,High,High,High,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,2000,81867,81867,2.321902926,99.65142978,113,-23.3218,48.6667,NA,1.39544376,9.965142978,6,99651.42978,NA,NA,NA,Green,Node36,"AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,Green,Green,Green,Amber,NA,NA,Green,Green,Green,Green,42918,71412,81867,81867,High,High,High,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,2001,109218,109218,2.626041246,112.7044382,126,-19.715,44.9,NA,1.578228284,11.27044382,6,112704.4382,NA,NA,NA,Green,Node36,"AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,Green,Green,Green,Amber,NA,NA,Green,Green,Green,Green,42918,71412,109218,109218,High,High,High,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,2002,87952,87952,2.177627385,93.45941213,104,11.1824,22.1333,NA,1.308735396,9.345941213,6,93459.41213,NA,NA,NA,Green,Node36,"AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,Green,Green,Green,Green,NA,NA,Green,Green,Green,Green,42918,71412,87952,87952,High,High,High,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,2003,244283,244283,2.743127788,117.7295584,125,81.4359,8.1333,NA,1.648596292,11.77295584,6,117729.5584,NA,NA,NA,Green,Node36,"AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,Green,Green,Green,Green,NA,NA,Green,Green,Green,Green,42918,71412,244283,244283,High,High,High,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,2004,136391,136391,3.116486493,133.7533673,140,157.9434,1.7333,NA,1.872981674,13.37533673,6,133753.3673,NA,NA,NA,Green,Node36,"AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,Green,Green,Green,Green,NA,NA,Green,Green,Green,Green,42918,71412,136391,136391,High,High,High,NA,NA,NA
