SMU,stock,year,fish,fecundity,n_sampled
sp_12,Nicola,2021,1,3265.963303,1
sp_12,Nicola,2021,2,3100.506494,1
sp_12,Nicola,2021,3,4589.724771,1
sp_12,Nicola,2021,4,3345.399267,1
sp_12,Nicola,2021,5,3119.252507,1
sp_12,Nicola,2021,6,3142.558719,1
sp_12,Nicola,2021,7,3725.882353,1
sp_12,Nicola,2021,8,4290.916667,1
sp_12,Nicola,2021,9,4020.954545,1
sp_12,Nicola,2021,10,3661.614243,1
sp_12,Nicola,2021,11,3601.647428,1
sp_12,Nicola,2021,12,3387.609756,1
sp_12,Nicola,2021,13,3964.658537,1
sp_12,Nicola,2021,14,3657.815718,1
sp_12,Nicola,2021,15,2408.647059,1
sp_12,Nicola,2021,16,3774.130435,1
sp_12,Nicola,2021,17,2882.010401,1
sp_12,Nicola,2021,18,3497.053763,1
sp_12,Nicola,2021,19,4401.975818,1
sp_12,Nicola,2021,20,3581.737235,1
sp_12,Nicola,2021,21,3549.289274,1
sp_12,Nicola,2021,22,3844.399166,1
sp_12,Nicola,2021,23,3629.194481,1
sp_12,Nicola,2021,24,2410.153257,1
sp_12,Nicola,2021,25,3950.531375,1
sp_12,Nicola,2021,26,2695.826087,1
sp_12,Nicola,2021,27,3471.917197,1
sp_12,Nicola,2021,28,3633.929677,1
sp_12,Nicola,2021,29,4090,1
sp_12,Nicola,2021,30,3809.399015,1
sp_12,Nicola,2021,31,3211.734694,1
sp_12,Nicola,2021,32,3242.680473,1
sp_12,Nicola,2021,33,3821.959707,1
sp_12,Nicola,2021,34,3712.537353,1
sp_12,Nicola,2021,35,4161.501779,1
sp_12,Nicola,2021,36,3842.428165,1
sp_12,Nicola,2021,37,3760.626168,1
sp_12,Nicola,2021,38,3562.699599,1
sp_12,Nicola,2021,39,3184.25,1
sp_12,Nicola,2021,40,3824.178404,1
sp_12,Nicola,2021,41,3284.971014,1
sp_12,Nicola,2021,42,3135.656085,1
sp_12,Nicola,2021,43,3207.101968,1
sp_12,Nicola,2021,44,3607.362416,1
sp_12,Nicola,2021,45,3701.584416,1
sp_12,Nicola,2021,46,4318.068376,1
sp_12,Nicola,2021,47,3650.471264,1
sp_12,Nicola,2021,48,4139.656566,1
sp_12,Nicola,2021,49,2914.588076,1
sp_12,Nicola,2021,50,3097.550459,1
sp_12,Nicola,2021,51,4131.211314,1
sp_12,Nicola,2021,52,3522.047619,1
sp_12,Nicola,2021,53,2600.629842,1
sp_12,Nicola,2021,54,4746.021492,1
sp_12,Nicola,2021,55,3276.517891,1
sp_12,Nicola,2021,56,3769.401937,1
sp_12,Nicola,2021,57,4303.911901,1
sp_12,Nicola,2021,58,4021.476499,1
sp_12,Nicola,2021,59,3939.043478,1
sp_12,Nicola,2021,60,4107.47619,1
sp_12,Nicola,2021,61,3013.962617,1
sp_12,Nicola,2021,62,2113.021978,1
sp_12,Nicola,2021,63,4199.915619,1
sp_12,Nicola,2021,64,1512.516129,1
sp_12,Nicola,2021,65,3831.147287,1
sp_12,Nicola,2021,66,3191.340821,1
sp_12,Nicola,2021,67,3180.551724,1
sp_12,Nicola,2021,68,3681.761905,1
sp_12,Nicola,2021,69,3344.319422,1
sp_12,Nicola,2021,70,3459.864092,1
sp_12,Nicola,2021,71,2923.842975,1
sp_12,Nicola,2021,72,3767.985612,1
sp_12,Nicola,2021,73,3164.209302,1
sp_12,Nicola,2021,74,3775.178357,1
sp_12,Nicola,2021,75,3966.619469,1
sp_12,Nicola,2021,76,4125.941176,1
sp_12,Nicola,2021,77,4092.560645,1
sp_12,Nicola,2021,78,3182.173184,1
sp_12,Nicola,2021,79,3743.952077,1
sp_12,Nicola,2021,80,2718.461245,1
sp_12,Nicola,2021,81,3641.197133,1
sp_12,Nicola,2021,82,3038.211909,1
sp_12,Nicola,2021,83,3254.05298,1
sp_12,Nicola,2022,1,3584.132875,1
sp_12,Nicola,2022,2,3387.215859,1
sp_12,Nicola,2022,3,3113.74772,1
sp_12,Nicola,2022,4,3436,1
sp_12,Nicola,2022,5,3616.549451,1
sp_12,Nicola,2022,6,4515.044776,1
sp_12,Nicola,2022,7,3332.124402,1
sp_12,Nicola,2022,8,3591.73755,1
sp_12,Nicola,2022,9,3083.558322,1
sp_12,Nicola,2022,10,2776.80531,1
sp_12,Nicola,2022,11,3909,1
sp_12,Nicola,2022,12,2397.083906,1
sp_12,Nicola,2022,13,1315.610169,1
sp_12,Nicola,2022,14,4087.378855,1
sp_12,Nicola,2022,15,4950,1
sp_12,Nicola,2022,16,3993.52651,1
sp_12,Nicola,2022,17,2201.481481,1
sp_12,Nicola,2022,18,4225.007833,1
sp_12,Nicola,2022,19,2944.575931,1
sp_12,Nicola,2022,20,3803.360996,1
sp_12,Nicola,2022,21,3433.826291,1
sp_12,Nicola,2022,22,3963.426684,1
sp_12,Nicola,2022,23,3705.501425,1
sp_12,Nicola,2022,24,4069.057257,1
sp_12,Nicola,2022,25,2176.593407,1
sp_12,Nicola,2022,26,3752.259259,1
sp_12,Nicola,2022,27,3795.626866,1
sp_12,Nicola,2022,28,2974.450501,1
sp_12,Nicola,2022,29,3770,1
sp_12,Nicola,2022,30,2606.942668,1
sp_12,Nicola,2022,31,3187.801354,1
sp_12,Nicola,2022,32,2989.741935,1
sp_12,Nicola,2022,33,3231.290676,1
sp_12,Nicola,2022,34,4392.571429,1
sp_12,Nicola,2022,35,4743.538462,1
sp_12,Nicola,2022,36,4348.99115,1
sp_12,Nicola,2022,37,3971.296919,1
sp_12,Nicola,2022,38,3847.803419,1
sp_12,Nicola,2022,39,3704.243047,1
sp_12,Nicola,2022,40,3552.527473,1
sp_12,Nicola,2022,41,4829.504792,1
sp_12,Nicola,2022,42,3623,1
sp_12,Nicola,2022,43,3024.462687,1
sp_12,Nicola,2022,44,3620.433584,1
sp_12,Nicola,2022,45,3695.763819,1
sp_12,Nicola,2022,46,3260.3466,1
sp_12,Nicola,2022,47,2565.920245,1
sp_12,Nicola,2022,48,3505.345165,1
sp_12,Nicola,2022,49,3339.227273,1
sp_12,Nicola,2022,50,3534.14554,1
sp_12,Nicola,2022,51,3948.851852,1
sp_12,Nicola,2022,52,3125.458333,1
sp_12,Nicola,2022,53,4208.335753,1
sp_12,Nicola,2022,54,3632.423729,1
sp_12,Nicola,2022,55,3969.380117,1
sp_12,Nicola,2022,56,3643.789182,1
sp_12,Nicola,2022,57,3678.190926,1
sp_12,Nicola,2022,58,3493.887218,1
sp_12,Nicola,2022,59,3901.07947,1
sp_12,Nicola,2022,60,3712.069767,1
sp_12,Nicola,2022,61,3499.509061,1
sp_12,Nicola,2022,62,3660.939481,1
sp_12,Nicola,2022,63,3044.45283,1
sp_12,Nicola,2022,64,3062.816024,1
sp_12,Nicola,2022,65,3641.395349,1
sp_12,Nicola,2022,66,3789.595469,1
sp_12,Nicola,2022,67,3778.291465,1
sp_12,Nicola,2022,68,3701.894428,1
sp_12,Nicola,2022,69,4629.327796,1
sp_12,Nicola,2022,70,3522.932584,1
sp_12,Nicola,2022,71,4068.502304,1
sp_12,Nicola,2022,72,3117.396135,1
sp_12,Nicola,2022,73,4259.716088,1
sp_12,Nicola,2022,74,2695.339943,1
sp_12,Nicola,2023,1,3834.089013,1
sp_12,Nicola,2023,2,2492.799564,1
sp_12,Nicola,2023,3,3340.964578,1
sp_12,Nicola,2023,4,3848.130719,1
sp_12,Nicola,2023,5,3479.032448,1
sp_12,Nicola,2023,6,2905.382848,1
sp_12,Nicola,2023,7,3110.286822,1
sp_12,Nicola,2023,8,3466.207373,1
sp_12,Nicola,2023,9,2819.619048,1
sp_12,Nicola,2023,10,3300.326241,1
sp_12,Nicola,2023,11,3107.146893,1
sp_12,Nicola,2023,12,3060.037037,1
sp_12,Nicola,2023,13,3249.337517,1
sp_12,Nicola,2023,14,3091.194107,1
sp_12,Nicola,2023,15,4055.782609,1
sp_12,Nicola,2023,16,3113.727273,1
sp_12,Nicola,2023,17,2974.933054,1
sp_12,Nicola,2023,18,2705.368876,1
sp_12,Nicola,2023,19,3079.75076,1
sp_12,Nicola,2023,20,4380.475728,1
sp_12,Nicola,2023,21,4254.760479,1
sp_12,Nicola,2023,22,3208.183976,1
sp_12,Nicola,2023,23,2865.237624,1
sp_12,Nicola,2023,24,3398.508772,1
sp_12,Nicola,2023,25,2066.473258,1
sp_12,Nicola,2023,26,2850.232804,1
sp_12,Nicola,2023,27,3154.856816,1
sp_12,Nicola,2023,28,3112.821946,1
sp_12,Nicola,2023,29,4091.681818,1
sp_12,Nicola,2023,30,3627.697174,1
sp_12,Nicola,2023,31,3372.436242,1
sp_12,Nicola,2023,32,3008.175299,1
sp_12,Nicola,2023,33,3223.529412,1
sp_12,Nicola,2023,34,1993.307692,1
sp_12,Nicola,2023,35,2650.620253,1
sp_12,Nicola,2023,36,2429.015707,1
sp_12,Nicola,2023,37,3400.39782,1
sp_12,Nicola,2023,38,2831.601164,1
sp_12,Nicola,2023,39,3247.051051,1
sp_12,Nicola,2023,40,2512.74224,1
sp_12,Nicola,2023,41,3066.810298,1
sp_12,Nicola,2023,42,3575.619048,1
sp_12,Nicola,2023,43,3368.937173,1
sp_12,Nicola,2023,44,2460.549391,1
sp_12,Nicola,2023,45,2570.620981,1
sp_12,Nicola,2023,46,3060.163205,1
sp_12,Nicola,2023,47,2517.510067,1
sp_12,Nicola,2023,48,4150.167053,1
sp_12,Nicola,2023,49,3041.021978,1
sp_12,Nicola,2023,50,2955.308943,1
sp_12,Nicola,2023,51,3031.540264,1
sp_12,Nicola,2023,52,3546.428571,1
sp_12,Nicola,2023,53,3454.494226,1
sp_12,Nicola,2023,54,4083.930197,1
